"";"latitude";"longitude";"unixtime";"velocidades";"file_name"
"1677";41,903089;12,496077;2014-02-12 12:06:45;0;100
"1686";41,904765;12,493504;2014-02-12 12:06:47;10;119
"1724";41,903924;12,489078;2014-02-12 12:06:47;0;85
"1728";41,904291;12,494344;2014-02-12 12:06:49;0;242
"1731";41,904571;12,493876;2014-02-12 12:06:50;8;301
"1732";41,90356;12,495967;2014-02-12 12:06:50;26;48
"1782";41,908052;12,489418;2014-02-12 12:06:54;31;81
"1789";41,907698;12,49149;2014-02-12 12:06:55;1;320
"1783";41,903074;12,496054;2014-02-12 12:06:55;2;100
"1795";41,907515;12,490312;2014-02-12 12:06:56;0;349
"1760";41,903924;12,489078;2014-02-12 12:06:56;0;85
"1794";41,904318;12,494295;2014-02-12 12:06:56;3;340
"1858";41,907974;12,49189;2014-02-12 12:06:57;0;237
