"";"longitude";"latitude";"unixtime";"file_name";"velocidades"
"1689";-79,8839664361195;-2,19050854116971;2017-10-28 17:11:48;"180";17,84
"1867";-79,8839664361195;-2,19050854116971;2017-10-28 17:11:48;"182";17,84
"2638";-79,8899316666667;-2,18666;2017-10-28 17:11:48;"189";33,84
"2012";-79,88515435718;-2,18922683503479;2017-10-28 17:11:49;"183";0
"2324";-79,8838327894365;-2,19073088902631;2017-10-28 17:11:49;"186";23,91
"2388";-79,8899566666667;-2,186775;2017-10-28 17:11:49;"187";37,44
"2878";-79,87971118;-2,18594199;2017-10-28 17:11:49;"194";24,26
"1557";-79,8840778663971;-2,19069621892148;2017-10-28 17:11:49;"179";24,54
"1306";-79,8830077509522;-2,18953320407308;2017-10-28 17:11:50;"172";7,76
"2539";-79,8839611423839;-2,19050545477748;2017-10-28 17:11:52;"188";26,58
"1690";-79,8840338355317;-2,19076205062484;2017-10-28 17:11:53;"180";23,11
"1868";-79,8840338355317;-2,19076205062484;2017-10-28 17:11:53;"182";23,11
"1748";-79,88342101;-2,18961272;2017-10-28 17:11:54;"181";16,85
"2325";-79,8838267438039;-2,1909479686553;2017-10-28 17:11:54;"186";16,07
"2389";-79,8899983333333;-2,18694;2017-10-28 17:11:54;"187";14,88
"1558";-79,8841292984257;-2,19089462233441;2017-10-28 17:11:54;"179";17,99
"1307";-79,8830866155151;-2,1897753183583;2017-10-28 17:11:55;"172";23,11
"2013";-79,8851486574858;-2,18923173844814;2017-10-28 17:11:55;"183";0,64
"2879";-79,87995476;-2,1862379;2017-10-28 17:11:55;"194";32,37
"1691";-79,8840338355317;-2,19076205062484;2017-10-28 17:11:58;"180";0
"1869";-79,8840338355317;-2,19076205062484;2017-10-28 17:11:58;"182";0
"2326";-79,8838722074674;-2,19095958428734;2017-10-28 17:11:59;"186";4,11
"2390";-79,8899983333333;-2,18698;2017-10-28 17:11:59;"187";2,88
"1559";-79,8841303239045;-2,19090932552981;2017-10-28 17:11:59;"179";1,13
"1308";-79,8829572758475;-2,19001377047341;2017-10-28 17:12:00;"172";26,48
"2014";-79,8851468972862;-2,18923534266651;2017-10-28 17:12:00;"183";0,39
"2540";-79,8841252412952;-2,19122310196248;2017-10-28 17:12:02;"188";31,74
"2990";-79,88262961;-2,18517558;2017-10-28 17:12:02;"197";40,76
"1692";-79,8840338355317;-2,19076205062484;2017-10-28 17:12:03;"180";0
"1870";-79,8840338355317;-2,19076205062484;2017-10-28 17:12:03;"182";0
"3522";-79,8827851029926;-2,18579043733201;2017-10-28 17:12:03;"201";56,42
"2327";-79,8839464481911;-2,19094161624145;2017-10-28 17:12:04;"186";6,64
"2880";-79,88002936;-2,18650212;2017-10-28 17:12:04;"194";13,55
"3115";-79,88281426;-2,18528895;2017-10-28 17:12:04;"198";55,48
"1560";-79,8841303239045;-2,19090932552981;2017-10-28 17:12:04;"179";0
"1309";-79,8827109703116;-2,19011643068041;2017-10-28 17:12:05;"172";25,13
"2015";-79,8851468972862;-2,18923534266651;2017-10-28 17:12:05;"183";0
"2541";-79,8842233972024;-2,19169886335385;2017-10-28 17:12:07;"188";41,32
"2991";-79,88274499;-2,18559763;2017-10-28 17:12:07;"197";38,69
"1693";-79,8840338355317;-2,19076205062484;2017-10-28 17:12:08;"180";0
"1871";-79,8840338355317;-2,19076205062484;2017-10-28 17:12:08;"182";0
"3523";-79,8828670780957;-2,18622116043847;2017-10-28 17:12:08;"201";36,91
"2328";-79,883992245324;-2,19094427606964;2017-10-28 17:12:09;"186";3,49
